CAT;DESCRICAO;REFER
M8891 / 0;epithelioid leiomyoma;
M8892 / 0;leiomyoma cell;
M8893 / 0;bizarre leiomyoma;
M8894 / 0;angiomyoma;
M8894 / 3;Angiomiossarcoma;
M8895 / 0;myoma;
M8895 / 3;myosarcoma;
M8896 / 3;myxoid leiomyosarcoma;
M8897 / 1;smooth muscle tumor NOS;
M8900 / 0;rhabdomyoma SOE;
M8900 / 3;rhabdomyosarcoma SOE;
M8901 / 3;pleomorphic rhabdomyosarcoma;
M8902 / 3;Rhabdomyosarcoma mixed type;
M8903 / 0;fetal rhabdomyoma;
M8904 / 0;rhabdomyoma adult;
M8910 / 3;embryonal rhabdomyosarcoma;
M8920 / 3;alveolar rhabdomyosarcoma;
M8930 / 0;Nodule endometrial stromal;D26.1
M8930 / 3;endometrial stromal sarcoma;C54.-
M8931 / 1;Miosis endolymphatic stromal;D39.0
M8932 / 0;adenomyoma;
M8933 / 3;Adenosarcoma;
M8940 / 0;pleomorphic adenoma;
M8940 / 3;malignant mixed tumor NOS;
M8941 / 3;Carcinoma in pleomorphic adenoma;C07, C08.-
M8950 / 3;Mullerian mixed tumor;C54.-
M8951 / 3;Mixed mesodermal tumor;
M8960 / 1;mesoblastic nephroma;
M8960 / 3;nefroblastoma SOE;C64
M8963 / 3;rhabdoid sarcoma;
M8964 / 3;Sarcoma Kidney clear cell;C64
M8970 / 3;hepatoblastoma;C22.0
M8971 / 3;pancreatoblastoma;C25.-
M8972 / 3;pulmonary blastoma;C34.-
M8980 / 3;carcinossarcoma SOE;
M8981 / 3;carcinossarcoma embryonic;
M8982 / 0;myoepithelioma;
M8990 / 0;mesenchymoma benign;
M8990 / 1;mesenchymoma SOE;
M8990 / 3;mesenchymoma evil;
M8991 / 3;embryonal sarcoma;
M9000 / 0;Brenner tumor NOS;D27
M9000 / 1;"Brenner tumor ""borderline""";D39.1
M9000 / 3;malignant Brenner tumor;C56
M9010 / 0;fibroadenoma SOE;D24
M9011 / 0;fibroadenoma intracanalicular;D24
M9012 / 0;fibroadenoma pericanalicular;D24
M9013 / 0;adenofibroma SOE;D27
M9014 / 0;adenofibroma serous;D27
M9015 / 0;adenofibroma mucinous;D27
M9016 / 0;giant fibroadenoma;D27
M9020 / 0;Benign phyllodes tumor;D24
M9020 / 1;Phyllodes tumor NOS;D48.6
M9020 / 3;Tumor malignant phyllodes;C50.-
M9030 / 3;fibroadenoma youth;D24
M9040 / 0;synovioma benign;
M9040 / 3;synovial sarcoma NOS;
M9041 / 3;synovial sarcoma, spindle cell;
M9042 / 3;synovial sarcoma epithelioid;
M9043 / 3;biphasic synovial sarcoma;
M9044 / 3;Clear cell sarcoma (except kidney M8964 / 3);
M9050 / 0;benign mesothelioma;D19.-
M9050 / 3;malignant mesothelioma;C45.-
M9051 / 0;benign fibrous mesothelioma;D19.-
M9051 / 3;malignant fibrous mesothelioma;C45.-
M9052 / 0;Epithelioid mesothelioma benign;D19.-
M9052 / 3;Epithelioid malignant mesothelioma;C45.-
M9053 / 0;benign biphasic mesothelioma;D19.-
M9053 / 3;biphasic malignant mesothelioma;C45.-
M9054 / 0;Adenomatoid tumor NOS;D19.-
M9055 / 1;cystic mesothelioma;
M9060 / 3;disgerminoma;
M9061 / 3;seminoma SOE;C62.-
M9062 / 3;anaplastic seminoma;C62.-
M9063 / 3;seminoma espermatocítico;C62.-
M9064 / 3;germinoma;
M9070 / 3;embryonal carcinoma NOS;
M9071 / 3;endodermal sinus tumor;
M9072 / 3;Poliembrioma;
M9073 / 1;gonadoblastoma;
M9080 / 0;benign teratoma;
M9080 / 1;SOE teratoma;
M9080 / 3;malignant teratoma SOE;
M9081 / 3;teratocarcinoma;
M9082 / 3;undifferentiated malignant teratoma;
M9083 / 3;malignant teratoma intemediário;
M9084 / 0;Dermoid cyst NOS;
M9084 / 3;Teratoma with malignant transformation;
M9085 / 3;mixed germ cell tumor;
M9090 / 0;ovarian Estruma SOE;D27
M9090 / 3;Estruma malignant ovarian;C56
M9091 / 1;carcinoid estrumal;D39.1
M9100 / 0;hydatidiform SOE spring;O01.9
M9100 / 1;Spring invasive hidatiforma;D39.2
M9100 / 3;choriocarcinoma SOE;
M9101 / 3;Choriocarcinoma combined with other elements germ cells;
M9102 / 3;malignant teratoma trophoblastic;C62.-
M9103 / 0;Spring partial hydatidiform;O01.1
M9104 / 1;Trophoblastic tumor of placental site;D39.2
M9110 / 0;Mesomefroma benign;
M9110 / 1;mesonephric tumor;
M9110 / 3;Mesomefroma evil;
M9120 / 0;hemangioma SOE;D18.0
M9120 / 3;hemangiosarcoma;
M9121 / 0;hemangioma cavernous;D18.0
M9122 / 0;venous hemangioma;D18.0
M9123 / 0;hemangioma racemosa;D18.0
M9124 / 3;Kupfer cells of Sarcoma;C22.3
M9125 / 0;hemangioma epitelióde;D18.0
M9126 / 0;hemangioma histiocytic;D18.0
M9130 / 0;benign hemangioendothelioma;D18.0
M9130 / 1;hemangioendothelioma SOE;
M9130 / 3;hemangioendothelioma evil;
M9131 / 0;capillary Hemangioma;D18.0
M9132 / 0;intramuscular hemangioma;D18.0
M9133 / 1;Epithelioid hemangioendothelioma SOE;
M9133 / 3;Epithelioid malignant hemangioendothelioma;
M9134 / 1;Tumor alveolar intravascular bronchus;D38.1
M9140 / 3;Kaposi's sarcoma;C46.-
M9141 / 0;angiokeratoma;
M9142 / 0;Hemangioma queratótico warty;D18.0
M9150 / 0;hemangiopericitoma benign;
M9150 / 1;hemangiopericitoma SOE;
M9150 / 3;hemangiopericitoma evil;
M9160 / 0;angiofibroma SOE;
M9161 / 1;hemangioblastoma;
M9170 / 0;lymphangioma SOE;D18.1
M9170 / 3;Lymphangiosarcoma;
M9171 / 0;capillary lymphangioma;D18.1
M9172 / 0;lymphangioma cavernosum;D18.1
M9173 / 0;cystic lymphangioma;D18.1
M9174 / 0;Lymphangiomyoma;D18.1
M9174 / 1;lymphangiomyomatosis;
M9175 / 0;Hemolinfangioma;D18.1
M9180 / 0;osteoma SOE;D16.-
M9180 / 3;osteosarcoma SOE;C40 .-, C41.-
M9181 / 3;osteosarcoma chondroblastic;C40 .-, C41.-
M9182 / 3;osteosarcoma fibroblast;C40 .-, C41.-
M9183 / 3;osteosarcoma telangiectasic;C40 .-, C41.-
M9184 / 3;Osteosarcoma in bone Paget's disease;C40 .-, C41.-
M9185 / 3;Small cell osteosarcoma;C40 .-, C41.-
M9190 / 3;osteosarcoma juxtacortical;C40 .-, C41.-
M9191 / 0;Osteoid osteoma SOE;D16.-
M9200 / 0;osteoblastomas SOE;D16.-
M9200 / 1;osteoblastomas aggressive;D48.0
M9210 / 0;osteochondroma;D16.-
M9210 / 1;osteochondromatosis SOE;D48.0
M9220 / 0;chondroma SOE;D16.-
M9220 / 1;chondromatosis SOE;
M9220 / 3;chondrosarcoma SOE;C40 .-, C41.-
M9221 / 0;chondroma juxtacortical;D16.-
M9221 / 3;chondrosarcoma juxtacortical;C40 .-, C41.-
M9230 / 0;chondroblastoma SOE;D16.-
M9230 / 3;chondroblastoma evil;C40 .-, C41.-
M9231 / 3;myxoid chondrosarcoma;
M9240 / 3;mesenchymal chondrosarcoma;
M9241 / 0;fibrosarcoma chondromyxoid;D16.-
M9250 / 1;giant cell tumor of bone, NOS;D48.0
M9250 / 3;Malignant neoplasm of bone giant cells;C40 .-, C41.-
M9251 / 1;Giant cell tumor of soft tissue, NOS;
M9251 / 3;Malignant neoplasm of soft tissues giant cells;
M9260 / 3;Ewing's sarcoma;C40 .-, C41.-
M9261 / 3;Adamantinoma of long bones;C40.-
M9262 / 0;ossifying fibroma;D16.-
M9270 / 0;Tumor benign dental;D16.4, D16.5
M9270 / 1;odontogenic tumor NOS;D48.0
M9270 / 3;Tumor malignant odontogenic;C41.0, C41.1
M9271 / 0;dentinoma;D16.4, D16.5
M9272 / 0;cementoma SOE;D16.4, D16.5
M9273 / 0;cementoblastoma benign;D16.4, D16.5
M9274 / 0;fibroma cementifying;D16.4, D16.5
M9275 / 0;cementoma gigantiform;D16.4, D16.5
M9280 / 0;odontoma SOE;D16.4, D16.5
M9281 / 0;odontoma compound;D16.4, D16.5
M9282 / 0;complex odontoma;D16.4, D16.5
M9290 / 0;Fibro-odontoma ameloblastic;D16.4, D16.5
M9290 / 3;Odontossarcoma ameloblastic;C41.0, C41.1
M9300 / 0;Adenomatoid odontogenic tumor;D16.4, D16.5
M9301 / 0;Calcifying odontogenic cyst;D16.4, D16.5
M9302 / 0;Odontogenic tumor ghost cells;D16.4, D16.5
M9310 / 0;ameloblastoma SOE;D16.4, D16.5
M9310 / 3;ameloblastoma evil;C41.0, C41.1
M9311 / 0;Odontoameloblastoma;D16.4, D16.5
M9312 / 0;Squamous odontogenic tumor;D16.4, D16.5
M9320 / 0;odontogenic myxoma;D16.4, D16.5
M9321 / 0;Central odontogenic fibroma;D16.4, D16.5
M9322 / 0;Peripheral odontogenic fibroma;D16.4, D16.5
M9330 / 0;fibroma ameloblastic;D16.4, D16.5
M9330 / 3;fibrosarcoma ameloblastic;C41.0, C41.1
M9340 / 3;Odontogenic epithelial tumor calcifying;D16.4, D16.5
M9350 / 1;craniopharyngioma;D44.3, D44.4
M9360 / 1;pinealoma;D44.5
M9361 / 1;pineocytoma;D44.5
M9362 / 3;pineoblastoma;C75.3
M9363 / 0;melanotic neuroectodermal tumor;
M9364 / 3;Peripheral neuroectodermal tumor;
M9370 / 0;chordoma;
M9380 / 3;malignant glioma;C71.-
M9381 / 3;brain Gliomatosis;C71.-
M9382 / 3;mixed glioma;C71.-
M9383 / 1;glioma subependymal;D43.-
M9384 / 1;Subependymal giant cell astrocytoma of;D43.-
M9390 / 0;Choroid plexus papilloma, SOE;D33.0
M9390 / 3;malignant choroid plexus papilloma;C71.5
M9391 / 3;ependymoma SOE;C71.-
M9392 / 3;anaplastic ependymoma;C71.-
M9393 / 1;papillary ependymoma;D43.-
M9394 / 1;ependymoma myxopapillary;D43.-
M9400 / 3;astrocytoma SOE;C71.-
M9401 / 3;anaplastic astrocytoma;C71.-
M9410 / 3;protoplasmic astrocytoma;C71.-
M9411 / 3;astrocytoma gemistocítico;C71.-
M9420 / 3;fibrillary astrocytoma;C71.-
M9421 / 3;pilocytic astrocytoma;C71.-
M9422 / 3;Espongioblastoma SOE;C71.-
M9423 / 3;Espongioblastoma polar;C71.-
M9424 / 3;xanthoastrocytoma pleomorphic;C71.-
M9430 / 0;astroblastoma;C71.-
M9440 / 3;glioblastoma SOE;C71.-
M9441 / 3;Giant cell glioblastoma;C71.-
M9442 / 3;gliosarcoma;C71.-
M9443 / 3;Primitive polar Espongioblastoma;C71.-
M9450 / 3;oligodendroglioma SOE;C71.-
M9451 / 3;anaplastic oligodendroglioma;C71.-
M9460 / 3;Oligodendroblastoma;C71.-
M9470 / 3;medulloblastoma SOE;C71.6
M9471 / 3;desmoplastic medulloblastoma;C71.6
M9472 / 3;Medulomioblastoma;C71.6
M9473 / 3;Primitive neuroectodermal tumor;C71.-
M9480 / 3;cerebellar sarcoma NOS;C71.6
M9481 / 3;sarcoma monstrocelular;C71.-
M9490 / 0;ganglioneuroma;
M9490 / 3;ganglioneuroblastoma;
M9491 / 3;neuromas;
M9500 / 3;neuroblastoma SOE;
M9501 / 3;medulloepithelioma SOE;
M9502 / 3;medulloepithelioma teratoid;
M9503 / 3;neuroepithelioma SOE;
M9504 / 3;Espongioneuroblastoma;
M9505 / 1;ganglioglioma;
M9506 / 0;neurocytomas;
M9507 / 0;tumor pacinian;
M9510 / 3;retinoblastoma SOE;C69.2
M9511 / 3;retinoblastoma differentiated;C69.2
M9512 / 3;undifferentiated retinoblastoma;C69.2
M9520 / 3;olfactory neurogenic tumor;
M9521 / 3;Estesioneurocitoma;C30.0
M9522 / 3;esthesioneuroblastoma;C30.0
M9523 / 3;Estesioneuroepitelioma;C30.0
M9530 / 0;meningioma NOS;D32.-
M9530 / 1;Meningiomatose SOE;D42.-
M9530 / 3;meningioma malignant;C70.-
M9531 / 0;meningioma meningoteliomatoso;D32.-
M9532 / 0;fibrous meningioma;D32.-
M9533 / 0;meningioma psamomatoso;D32.-
M9534 / 0;meningioma angiomatous;D32.-
M9535 / 0;meningioma hemangioblástico;D32.-
M9536 / 0;meningioma hemangiopericítico;D32.-
M9537 / 0;meningioma transitional;D32.-
M9538 / 1;papillary meningioma;D42.-
M9539 / 3;sarcomatosis meningeal;C70.-
M9540 / 0;neurofibroma SOE;Q85.0
M9540 / 1;neurofibromatosis SOE;
M9540 / 3;neurofibrosarcoma;
M9541 / 0;melanotic neurofibroma;
M9550 / 0;plexiform neurofibroma;
M9560 / 0;Neurilemmoma SOE;
M9560 / 1;Neurinomatose;
M9560 / 3;Neurilemmoma evil;
M9561 / 3;Tumor malignant triton;
M9562 / 0;Neurotequeoma;
M9570 / 0;neuroma SOE;
M9580 / 0;granular cell tumors NOS;
M9580 / 3;Malignant neoplasm of granule cells;
M9581 / 3;Sarcoma Alveolar soft part;
M9590 / 3;Malignant lymphoma NOS;C84.5, C85.9
M9591 / 3;malignant non-Hodgkin lymphoma NOS;C85.9
M9592 / 3;lymphosarcoma SOE;C85.0
M9593 / 3;Reticulossarcoma SOE;C83.3, C83.9
M9594 / 3;microglioma;C85.7
M9595 / 3;diffuse malignant lymphoma NOS;C83.9
M9650 / 3;SOE Hodgkin's disease;C81.9
M9652 / 3;Hodgkin's disease of mixed cellularity SOE;C81.2
M9653 / 3;Hodgkin's disease, lymphocytic depletion, SOE;C81.3
M9654 / 3;Hodgkin's disease, lymphocytic depletion, with diffuse fibrosis;C81.3
M9655 / 3;Hodgkin's disease, lymphocytic depletion, reticular;C81.3
M9657 / 3;Hodgkin's disease, lymphocytic predominance, SOE;C81.0
M9658 / 3;Hodgkin's disease, lymphocytic predominance, diffuse;C81.0
M9659 / 3;Hodgkin's disease, lymphocytic predominance, nodular;C81.0
M9660 / 3;Paragranuloma Hodgkin SOE;C81.7
M9661 / 3;Granuloma Hodgkin;C81.7
M9662 / 3;Hodgkin's sarcoma;C81.7
M9663 / 3;Hodgkin's disease, nodular sclerosis, SOE;C81.1
M9664 / 3;Hodgkin's disease, nodular sclerosis, mobile phase;C81.1
M9665 / 3;Hodgkin's disease, nodular sclerosis, lymphocytic predominance;C81.1
M9666 / 3;Hodgkin's disease, nodular sclerosis, mixed cellularity;C81.1
M9667 / 3;Hodgkin's disease, nodular sclerosis, lymphocytic depletion;C81.1
M9670 / 3;malignant lymphoma, small lymphocytes, NOS;C83.0
M9671 / 3;evil, lymphoplasmacytic lymphoma;C83.8
M9672 / 3;Malignant lymphoma small cleaved cell, diffuse;C83.1
M9673 / 3;malignant lymphocytic lymphoma, intermediate differentiation, diffuse;C83.8
M9674 / 3;Centrocytic malignant lymphoma;C83.8
M9675 / 3;malignant lymphoma, mixed small cell and large, diffuse;C83.2
M9676 / 3;malignant lymphoma, centroblastic-Centrocytic, diffuse;C83.8
M9677 / 3;Malignant lymphomatous polyposis;C83.8
M9680 / 3;malignant lymphoma of large, diffuse cells, SOE;C83.3
M9681 / 3;malignant lymphoma, large cell, cleaved, diffuse;C83.3
M9682 / 3;malignant lymphoma, large cell, non-cleaved, diffuse;C83.3
M9683 / 3;malignant lymphoma, centroblastic, diffuse;C83.8
M9684 / 3;immunoblastic malignant lymphoma NOS;C83.4
M9685 / 3;lymphoblastic malignant lymphoma;C83.5
M9686 / 3;malignant lymphoma, small cell not cleaved, diffuse;C83.0, C83.6
M9687 / 3;Burkitt lymphoma NOS;C83.7
M9690 / 3;follicular malignant lymphoma NOS;C82.9
M9691 / 3;malignant lymphoma, mixed small cleaved and large cell cell, follicular;C82.1
M9692 / 3;malignant lymphoma, centroblastic-Centrocytic, follicular;C82.7
M9693 / 3;evil, lymphocytic, well-differentiated, nodular lymphoma;C82.7
M9694 / 3;Malignant lymphoma, lymphocytic, intermediate differentiation, nodular;C82.7
M9695 / 3;Malignant lymphoma small cleaved cell, follicular;C82.0
M9696 / 3;lymphocytic malignant lymphoma, poorly differentiated, nodular;C82.7
M9697 / 3;malignant follicular lymphoma centroblastic;C82.7
M9698 / 3;Malignant large cell lymphoma, follicular, SOE;
M9700 / 3;mycosis fungoides;C84.0
M9701 / 3;Sezary's disease;C84.1
M9702 / 3;peripheral T-cell lymphoma NOS;C84.4
M9703 / 3;T zone lymphoma;C84.2
M9704 / 3;linfoepitelóide lymphoma;C84.3
M9705 / 3;peripheral T cell lymphoma (angio-immunoblastic lymphadenopathy with disproteinemia);C84.4
M9706 / 3;T-cell lymphoma, peripheral, small cell pleomorphic;C84.4
M9707 / 3;T-cell lymphoma, peripheral, medium and large cell pleomorphic;C84.4
M9709 / 3;cutaneous;C84.5
M9711 / 3;monocytoid B cell lymphoma;C85.7
M9712 / 3;angioendotheliomatosis;C85.7
M9713 / 3;angiocentric T cell lymphoma;C85.7
M9714 / 3;large cell lymphoma (Ki-1 +);C85.7
M9720 / 3;malignant histiocytosis;C96.1
M9722 / 3;Letterer-Siwe disease;C96.0
M9723 / 3;True histiocytic lymphoma;C96.3
M9731 / 3;plasmacytoma SOE;C90.2
M9732 / 3;multiple myeloma;C90.0
M9740 / 1;mastocytoma SOE;D47.0
M9740 / 3;Mast cell sarcoma;C96.2
M9741 / 3;malignant mastocytosis;C96.2
M9760 / 3;Immunoproliferative disease NOS;C88.9
M9761 / 3;Waldenstrom Macroglobulinemia;C88.0
M9762 / 3;Alpha heavy chain disease;C88.1
M9763 / 3;Gamma heavy chain disease;C88.2
M9764 / 3;immunoproliferative small intestinal disease;C88.3
M9765 / 1;monoclonal gammopathy;D47.2
M9766 / 1;Immunoproliferative angiocentric injury;D47.7
M9767 / 1;angioimmunoblastic lymphadenopathy;D47.7
M9768 / 1;T gamma lymphoproliferative disease;D47.7
M9800 / 3;SOE leukemia;C95.9
M9801 / 3;Acute leukemia NOS;C95.0
M9802 / 3;SOE subacute leukemia;C95.2
M9803 / 3;chronic leukemia SOE;C95.1
M9804 / 3;aleucêmica leukemia SOE;C95.7
M9820 / 3;lymphoblastic leukemia SOE;C91.9
M9821 / 3;acute lymphoblastic leukemia NOS;C91.0
M9822 / 3;Subacute lymphocytic leukemia;C91.2
M9823 / 3;CLL;C91.1
M9824 / 3;lymphoblastic leukemia aleucêmica;C91.7
M9825 / 3;prolymphocytic leukemia;C91.3
M9826 / 3;Burkitt cell leukemia;C91.7
M9827 / 3;Leukemia / lymphoma Adult T cell;C91.5
M9830 / 3;plasma cell leukemia;C90.1
M9840 / 3;erythroleukemia;C94.0
M9841 / 3;acute Eritremia;C94.0
M9842 / 3;Eritremia chronic;C94.1
M9850 / 3;lymphosarcoma cell leukemia;C94.0
M9860 / 3;SOE myeloid leukemia;C92.9
M9861 / three;Acute myeloid leukemia;C92.0
M9862 / 3;Subacute myeloid leukemia;C92.2
M9863 / 3;Chronic myeloid leukemia;C92.1
M9864 / 3;myelogenous leukemia aleucêmica;C92.7
M9866 / 3;Acute promyelocytic leukemia;C92.4
M9867 / 3;acute myelomonocytic leukemia;C92.5
M9868 / 3;chronic myelomonocytic leukemia;C92.7
M9870 / 3;basophilic leukemia;C92.-
M9880 / 3;eosinophilic leukemia;C92.-
M9890 / 3;monocytic leukemia SOE;C93.9
M9891 / 3;acute monocytic leukemia;C93.0
M9892 / 3;Subacute monocytic leukemia;C93.2
M9893 / 3;chronic monocytic leukemia;C93.1
M9894 / 3;monocytic leukemia aleucêmica;C93.7
M9900 / 3;mast cell leukemia;C94.3
M9910 / 3;leukemia acute megakaryoblastic;C94.2
M9930 / 3;myeloid sarcoma;C92.3
M9931 / 3;acute Panmielose;C94.4
M9932 / 3;acute myelofibrosis;C94.5
M9940 / 3;"Leukemia ""hairy cell""";C91.4
M9941 / 3;reticuloendotheliosis leukemic;C91.4
M9950 / 1;polycythemia vera;D45
M9960 / 1;chronic myeloproliferative disease;D47.1
M9961 / 3;Mieloesclerose with myeloid metaplasia;D47.1
M9962 / 1;idiopathic thrombocythemia;D47.3
M9970 / 1;lymphoproliferative disease NOS;D47.9
M9980 / 1;refractory anemia NOS;D46.4
M9981 / 1;Refractory anemia without sideroblasts;D46.0
M9982 / 1;refractory anemia with ringed sideroblasts;D46.1
M9983 / 1;refractory anemia with excess blasts;D46.2
M9984 / 1;refractory anemia with excess blasts in transformation;D46.3
M9989 / 1;myelodysplastic syndrome NOS;D46.9
